Timestamp,Sex,Height (cm),Weight (KG),Arm Span (cm),How long have you been climbing for?,Where do you climb?,Hardest V Grade ever climbed ,Hardest V Grade climbed in the Last 3 months,The V grade you can send 90-100% of routes ,Hardest Route grade climbed (Ewbank grade) ,Hardest route climbed last 3 months (ewbank),Route grade you can send 90-100% of climbs,Frequency of climbing sessions per week,Average hours climbing per week (not including training),Average hours Training for climbing per week ,Hangboard Frequency per week ,Hangboard grips used ,Style of Hangboarding chosen ,Max Weight hangboard 18mm edge - Half crimp (KG)  (10 seconds) (added weight only),Max Weight hangboard 18mm edge - open crimp (KG) (10 seconds)  (added weight only),"Min Edge used (mm, +kg if weight added ) - Half Crimp (10 seconds)","Min Edge used (mm, +kg if weight added) - Open crimp (10 seconds) ",Campus Board frequency per week ,Campus Board time per week (hours),Frequency of Endurance training sesions per week,Endurance training ,General Strength Training frequency per week ,Time spent General strength training (hours),Type of Strength training,"Other activities (ie yoga, cardio)",Max pull up reps,5 rep max weighted pull ups,max push ups reps,max L-sit time 
29/01/2017 20:12:46,Male,173,77,178,4.5 - 5 years,Indoor and outdoor climbing,V8,V8,V6,I don't climb routes,I don't climb routes,I don't climb routes,4,8,6,0,I don't Hangboard,I don't hangboard,0,0,0,0,0,0,1,4x4,3,4,"Antagonists, Legs, Core",,15,29kg,40,30
29/01/2017 20:17:27,Male,180,81,180,3 - 3.5 years,Indoor Climbing only,V3,V3,V1,17,I don't climb routes,I don't climb routes,1,3,10,2,"Open Crimp, Front 3, Back 3, Middle 2, Slopers",Repeaters,,81kg,,,0,0,1,Laps of routes,2,2,"Antagonists, Legs, Core, Upper body pulling, Upper body pushing","Yoga, stretching",11,5kg,24,15sec
29/01/2017 20:28:14,Male,178,67,175,.5 - 1 years,Indoor and outdoor climbing,V7,V6,V5,21,21,19,3,4,3,2,Open Crimp,Other protocol,25,25,,,0,0,2,"4x4, ARC, route climbing intervals",3,2,"Antagonists, Core, Upper body pulling, Upper body pushing",soccer,17,20 kg,,
29/01/2017 20:51:08,Male,173,70,178,9 - 9.5 years,Indoor and outdoor climbing,V5,V4,V3,21,21,18,2,6,1,1,Half Crimp,Max weight,15,,,,0,0,1,"Laps of routes, route climbing intervals",0,0,"Antagonists, Legs, Core, No other strength training",,8,,30,
29/01/2017 21:03:19,Male,184,84,197,6.5 - 7 years,Indoor and outdoor climbing,V10,V10,V7,I don't climb routes,I don't climb routes,I don't climb routes,6,10,2,4,Open Crimp,"Min Edge, Other protocol",,,8,8,0,0,2,"4x4, Max moves, threshold intervals",2,1,"Core, Upper body pushing",,,,,
29/01/2017 21:03:28,Male,176,67,170,5 - 5.5 years,Indoor and outdoor climbing,V7,I don't boulder,V7,22,I don't climb routes,18,0,0,0,0,I don't Hangboard,I don't hangboard,,,,,0,0,0,I don't train for endurance,4,6,"Legs, Core, Upper body pulling, Upper body pushing",Trail running,9,,15,20
29/01/2017 21:25:54,Male,184,75,181,1 - 1.5 years,Indoor Climbing only,V4,V4,V2,I don't climb routes,I don't climb routes,I don't climb routes,2,4,0,0,I don't Hangboard,I don't hangboard,,,,,0,0,0,I don't train for endurance,2,4,"Legs, Core, Upper body pulling, Upper body pushing",,15,"17,5kg",Don't know,5sec
29/01/2017 22:10:27,Male,186,88,192,1.5 - 2 years,Indoor and outdoor climbing,V5,V5,V3,23,22,21,3,8,8,1,"Half Crimp, Open Crimp, Slopers",Repeaters,,,,,0,0,2,"Laps of routes, route climbing intervals, threshold intervals",3,4,"Antagonists, Core, Upper body pulling, Upper body pushing",Cardio,9,25kg,25,
29/01/2017 22:43:43,Male,185,60,180,.5 - 1 years,Indoor Climbing only,V2,V2,V1,21,21,18,1,3,1,0,I don't Hangboard,I don't hangboard,,,,,0,0,0,I don't train for endurance,1,1,Core,,,,,
29/01/2017 23:28:42,Male,180,80,-,8.5 - 9 years,Indoor and outdoor climbing,V9,V7,V6,I don't climb routes,I don't climb routes,I don't climb routes,4,3,8,2,Half Crimp,Max weight,60,,,,1,1,0,I don't train for endurance,1,2,"Antagonists, Core, Upper body pulling, Upper body pushing",,,,,
